'a'bo 阿勃
'a'ding 吖啶
'a'ding'huang'su 吖啶黄素
'a'dong'chun 阿东醇
'a'la'bo'jiao'shu 阿拉伯胶树
'a'luo'tang 阿洛糖
'a'nai'wen 阿奈温
'a'niao 阿脲
'a'pu'bai'fu'suan 阿朴白腐酸
'a'si'ke'li'shi'yan 阿斯科利试验
'a'te'la'jin 阿特拉津
'a'tuo'pin 阿托品
'a'zhuo'tang 阿卓糖
'ai'feng'hao 矮丰号
'ai'gan 矮秆
'ai'gan'xiao'mai 矮秆小麦
'ai'gan'xing'zheng'zhi 矮干形整枝
'ai'gao'wei'ya'zhi'wu 矮高位芽植物
'ai'ji'che'zhou'cao 埃及车轴草
'ai'qiao'mu 矮乔木
'ai'shi'ji 艾氏剂
'ai'zhuang'su 矮壮素
'an'bing'mi'bi'ding 氨丙嘧吡啶
'an'chun 鹌鹑
'an'fan'ying 暗反应
'an'fei 氨肥
'an'gou 暗沟
'an'gu'ding 铵固定
'an'hong'se'tie'lv'tu 暗红色铁铝土
'an'hu'xi 暗呼吸
'an'hua 胺化
'an'hua'guo'cheng 氨化过程
'an'hua'guo'lin'suan'gai'fei'liao 氨化过磷酸钙肥料
'an'hua'xi'jun 氨化细菌
'an'hua'zhuo 氨化酌
'an'huang'suan'yan'chu'cao'ji 氨磺酸盐除草剂
'an'ji'cu'suan 氨基醋酸
'an'ji'dan 氨基氮
'an'ji'hua'he'wu 氨基化合物
'an'ji'hua'he'wu 铵基化合物
'an'ji'jia'suan'yan 氨基甲酸盐
'an'ji'jia'suan'zhi'lei'sha'chong'ji 氨基甲酸酯类杀虫剂
'an'ji'piao'ling 氨基嘌呤
'an'ji'qing'tai'dan 氨基氰态氮
'an'ji'suan 氨基酸
'an'ji'suan'dai'xie 氨基酸代谢
'an'ji'suan'huo'hua 氨基酸活化
'an'ji'suan'huo'xing'mei 氨基酸活性酶
'an'ji'suan'shun'xu 氨基酸顺序
'an'ji'tang 氨基糖
'an'ji'zhuan'yi 氨基转移
'an'ji'zhuan'yi'mei 氨基转移酶
'an'mao 铵茂
'an'quan'cuo'shi 安全措施
'an'quan'nong'du 安全浓度
'an'quan'xi'shu 安全系数
'an'quan'xian'liang 安全限量
'an'quan'xing 安全性
'an'quan'yong'liang 安全用量
'an'se'can 暗色蚕
'an'se'tu 暗色土
'an'shan'yan 安山岩
'an'shu'lan'an 桉树蓝桉
'an'shui 氨水
'an'tai'dan 氨态氮
'an'tai'dan'fei 氨态氮肥
'an'tai'mei 氨肽酶
'an'ti'bi'lin 安替比林
'an'xian'hua 氨酰化
'an'yan 铵盐
'an'yang'hua'mei 胺氧化酶
'ao'di'xing 凹地形
'ao'qi 敖觭
'ao'xing'hua 螯形化
'ao'xing'hua'he'wu 螯形化合物
'ba'dan 巴丹
'ba'di 耙地
'ba'er'de'yun'shi'xiao'ying 巴尔得云氏效应
'ba'jie 拔节
'ba'na'ma'cao 巴拿马草
'ba'qu'zhuang'zhi 拔取装置
'ba'shi'mie'jun 巴氏灭菌
'ba'shi'xiao'ti 巴氏小体
'ba'shou 拔收
'ba'ya'ma 拔亚麻
'ba'yang 拔秧
'bai'an'suan 白氨酸
'bai'cai 白菜
'bai'cai'kao'fu'bing 白菜尻腐病
'bai'che'zhou'cao 白车轴草
'bai'chi'deng 白炽灯
'bai'dan'bai 白蛋白
'bai'dan'bai'ding'liang'qi 白蛋白定量器
'bai'e 白垩
'bai'e'tu 白垩土
'bai'fen 白粉
'bai'fen'bing 白粉病
'bai'fen'dian 百分点
'bai'fen'die 白粉蝶
'bai'fen'lv 百分率
'bai'fen'shu 百分数
'bai'gan'bu'li 摆杆步犁
'bai'he'ke'shu'cai 百合科蔬菜
'bai'he'ke'zhi'wu 百合科植物
