'a'wei'si'man'qin 阿维四螨嗪
'nai'suan'jun 耐酸菌
'shi'yan'yu'cha 实验预察
'zhong'zhu 种猪
'jiang'su'sheng'hong'ze'xian'wu'ji'hua'gong'chang 江苏省洪泽县无机化工厂
'wan'zao 晚造
'fang'yi'shi'she 防疫施设
'ke'zhuo 课桌
'diao'xiao'jia'shi'zhi'zhao 吊销驾驶执照
'ji'jie'xing'qian'yi 季节性迁移
'dong'wu'xing'dan'bai'si'liao 动物性蛋白饲料
'mo'xing'rui 莫兴瑞
'nong'cun'shang'ye'zong'chan'zhi 农村商业总产值
'neng'liang'liu 能量流
'gu'wen'wei'yuan'hui 顾问委员会
'ti'yu'jiao'shi 体育教师
'gong'xian'li'liang 贡献力量
'dao'feng'shou 稻丰收
'ru'fang'ji'bing 乳房疾病
'gu'qiu'feng 锢囚锋
'qi'xiang'guan'ce 气象观测
'liu'yu'xing'shi 流于形式
'a'zhuo'tang 阿卓糖
'ye'se'shen 叶色深
'zhong'dan 种蛋
'yi'yang'fu'cao'mi 乙氧氟草醚
'dai'ye'ren'kou 待业人口
'ke'ji'han'liang 科技含量
'hei'gu 黑谷
'shang'wei 上位
'he'huang'su 核黄素
'he'kun'dui 禾捆堆
'qing'zhu'si'liao'zhi'zuo 青贮饲料制作
'he'di 河堤
'shuang'sheng'de 双生的
'tui'dong'wo'xian 推动我县
'zhi'wu'bing'li'xue 植物病理学
'huang'yao'feng 黄耀锋
'bian'yi'xu'lie 变异序列
'tu'keng 土坑
'xiu'jun 锈菌
'mian'yi'fu'he'wu 免疫复合物
'nong'ye'ji'shu'ge'xin 农业技术革新
'di'er'pi 第二批
'miao'quan 苗全
'fan'hong'hua 番红花
'han'zong'lan 韩宗岚
'da'gui'mo'zhong'zhi'chang 大规模种植场
'ying'ji'yin'zi 应激因子
'yan'cao'shi'wen'bing'du'bing 烟草蚀纹病毒病
'yong'sheng'xian 永胜县
'tian'qi'chuan 天气船
'she'hui'zhu'yi'xin'nong'cun'jian'she 社会主义新农村建设
'gu'zi'fu'ni'jia 谷子负泥甲
'cao'quan'jing 草全净
'er'lv'bing'xian'ben'an 二氯丙酰苯胺
'wei'guan'zu'zhi 维管组织
'xiao'bai'shu'rou'liu'bing'du 小白鼠肉瘤病毒
'tu'rang'shui'dong'tai 土壤水动态
'nong'zi'jia'ge 农资价格
'bing'liu'ke'bai'wei 丙硫克百威
'gong'sheng'gu'dan'zuo'yong 共生固氮作用
'shu'ye'de 疏液的
'ma'long 马龙
'fang'zhi'zhi'biao 防治指标
'ding'liu'ke'bai'wei 丁硫克百威
'ji'su'jie'kang'ji 激素拮抗剂
'ge'shai'gan'cao 割晒干草
'gan'si'liao 干饲料
'gong'zuo're'qing 工作热情
